Coach House, Cafe and Bistro Ford Park	Ford Park Ulverston LA12 7JP	http://www.ford-park.org.uk/contactus.asp	Coach House, Cafe & Bistro	01229 581666	54.199185,-3.090176
Cockermouth Town Hall	Market Street Cockermouth CA13 9NP	https://www.cockermouth.org/cockermouth-town-hall-weddings/	Cockermouth Town Hall	01900 821869	54.663263,-3.361268
Coppermines & Lakes Cottages	The Bridge Coniston LA21 8HJ	https://www.coppermines.co.uk/#	Coppermines Lakes Cottages	01539 441765	54.368987,-3.076584
Cote How	Rydal Near Ambleside Cumbria LA22 9LW	http://www.cotehow.co.uk/	Cote How	015394 32765	54.445282,-2.983838
Cragwood Country House Hotel	Windermere Cumbria LA23 1LQ	https://www.lakedistrictcountryhotels.co.uk/cragwood-hotel	Cragwood Country House Hotel	015394 88177	54.399115,-2.939695
Crown & Mitre Hotel	English Street Carlisle Cumbria CA3 8HZ	http://www.peelhotels.co.uk/hotels/crown-and-mitre-hotel-carlisle-cumbria-england/contact.shtml	Crown & Mitre Hotel	01228 525491	54.894370,-2.936801
Crown Hotel	Wetheral Carlisle CA4 8ES			01228 561888	54.882751,-2.833062
Cumbria Grand Hotel	Lindale Road Cumbria LA11 6EN	http://www.strathmorehotels.com/Cumbria/home	Cumbria Grand Hotel	015395 32331	54.200495,-2.895294
Cumbria Park Hotel	32 Scotland Road Carlisle CA3 9DG	http://www.cumbriaparkhotel.com/contact/	Cumbria Park Hotel	01228 522887	54.904901,-2.936921
Daffodil Hotel & Spa	By The Lake Keswick Road Grasmere Cumbria LA22 9PR	http://www.daffodilhotel.co.uk	www.daffodilhotel.co.uk	015394 663550	54.452907,-3.017059
Dale Lodge Hotel	Grasmere Cumbria LA22 9SW	http://www.dalelodgehotel.co.uk/	Dale Lodge Hotel	015394 35300	54.457960,-3.024218
Dallam Tower	Milnthorpe Cumbria LA7 7AG	http://www.parksandgardens.org/places-and-people/site/1036/summary	Dallam Tower	01539 563368	54.222962,-2.783400
Dalston Hall Hotel	Dalston Carlisle Cumbria CA5 7JX	http://www.dalston-hall-hotel.co.uk/weddings.html	Dalston Hall Hotel	01228 710271	54.855031,-2.972697
Damson Dene Hotel	Crosthwaite Near Bowness-on-Windermere Cumbria LA8 8JE	http://damsondene.co.uk/events/lake-district-wedding	Damson Dene Hotel	015395 68676	54.318400,-2.890904
Derwentwater Hotel	Portinscale Keswick CA12 5RE	http://www.coastandcountryhotels.com/our-hotels/the-derwentwater-hotel-keswick	Derwentwater Hotel	01768 772538	54.602077,-3.158240
Dunes Hotel	Hawthwaite Lane Barrow-in-Furness Cumbria LA14 4QW	http://theduneshotel.co.uk/weddings/	The Dunes Hotel	01229 461200	54.159097,-3.214349
Eden Barn	Musgrave Hall Little Musgrave Kirkby Stephen Cumbria CA17 4PQ	https://www.edenbarn.co.uk/	Eden Wedding Barn	017683 41228	54.512657,-2.375388
Eden Golf Club	Crosby-on-Eden Carlisle Cumbria CA6 4RA	http://www.gardenateden.co.uk/weddings/	The Garden at Eden	01228 573003	54.917953,-2.840670
Edenhall Country Hotel & Restaurant	Edenhall Penrith Cumbria CA11 8SX	http://www.edenhallhotel.co.uk/	Edenhall Country Hotel & Restaurant	01768 881 454	54.685199,-2.675013
Edenhall Estates	The Smithy, The Courtyard, Edenhall, Ca11 8ST	https://www.facebook.com/EdenhallEstate/	Edenhall Estates	01768 881430	54.683571,-2.676847
Ennerdale Country House Hotel	Main Street Cleator Cumbria CA23 3DT	http://www.bespokehotels.com/ennerdalehotel/pages/weddings	Ennerdale Country House Hotel	01946 813907	54.509417,-3.517912
Fairfield Lane Masonic Hall	Fairfield Lane Barrow in Furness Cumbria LA13 9AH	http://fsl.westlancsfreemasons.org.uk/	Masonic Hall - Fairfield Lane	01229 821273	54.123176,-3.215670
Farlam Hall Hotel	Brampton Cumbria CA8 2NG	http://www.farlamhall.co.uk/weddings/	Farlam Hall Hotel	016977 46234	54.933952,-2.672791
Forest Side Hotel	Keswick Road Grasmere Cumbria LA22 9RN	http://www.theforestside.com/	The Forest Side Hotel	015394 35250	54.463748,-3.015739
George Hotel	Devonshire Street Penrith Cumbria CA11 7SU	http://www.lakedistricthotels.net/georgehotel/weddings.php	George Hotel	01768 862696	54.664406,-2.752356
Gilpin Hotel & Lake House	Crook Road Windermere Cumbria LA23 3NE	http://thegilpin.co.uk/	Gilpin Hotel & Lake House	015394 88818	54.354231,-2.912805
Gilsland Hall Hotel	Gilsland Brampton Cumbria CA8 7AR	https://www.gilslandhall.uk/weddings	Gilsland Hall Hotel	016977 47203	55.002331,-2.570707
Glaramara House	Seatoller Borrowdale Nr Keswick Cumbria CA12 5XQ	http://www.glaramarahouse.co.uk/wedding	Glaramara House	01768 77222	54.510653,-3.154910
Glenridding Hotel	Glenridding Ullswater Penrith Cumbria CA11 0PB	http://theglenriddinghotel.com/weddings/	Glenridding Hotel	017684 82228	54.543525,-2.948669
Glenridding House	Ullswater The Lake District Cumbria	http://www.glenriddinghouse.com/weddings/	Glenridding House	01768 482874	54.546945,-2.949166
Golden Fleece	Ruleholme Irthington Carlisle Cumbria CA6 4NF	http://www.thegoldenfleececumbria.co.uk/weddings/	The Golden Fleece	01228 573686	54.932582,-2.784417
Grange Hotel	Station Square Grange-over-Sands Cumbria LA11 6EJ	http://www.grange-hotel.co.uk/	The Grange Hotel	015395 33666	54.197574,-2.902435
Greenhill Hotel	Red Dial Wigton Cumbria CA7 8LS	http://www.greenhillhotel.co.uk/civil_ceremonies.htm	The Greenhill Hotel	016973 43304	54.799237,-3.170561
Greystoke Castle	Greystoke Penrith Cumbria CA11 0TG	http://greystoke.com/contact	Greystoke Castle	017684 80940	54.671298,-2.877975
Grove Court Hotel	Cleator Gate Cleator Cumbria CA23 2DT	http://www.grovecourthotel.co.uk/function_room_suite_at_grove_court_hotel_cleator_cumbria.html	Grove Court Hotel	01946 810503	54.509417,-3.517912
Hallmark Hotel	Court Square Carlisle Cumbria CA1 1QY	http://www.hallmarkhotels.co.uk/hotels/carlisle/weddings	Hallmark Hotel	0330 028 3401	54.891156,-2.932860
The Halston	20-34 Warwick Road Carlisle Cumbria CA1 1AB	https://thehalston.com/weddings/	The Halston	01228 210240	54.892296,-2.931889
Hawsewater Hotel	Lakeside Road Bampton Penrith CA10 2RP	http://www.haweswaterhotel.com/	Hawsewater Hotel	01931 713232	54.530886,-2.759447
Heather Glen Hotel	Ainstable Village Cumbria CA4 9QQ	http://heatherglencountryhouse.co.uk/weddings/	Heather Glen Country House	01768 896219	54.808336,-2.729123
Helena Thompson Museum	Park End Road Workington Cumbria CA14 4DE	http://helenathompson.org.uk/	Helena Thompson Museum	01900 64040	54.641442,-3.538339
Hidden River Cabins	Longtown Carlisle Cumbria CA6 5TU	https://www.hiddenrivercabins.co.uk/	Hidden River Cabins	01228 791318	55.017968,-2.870835
Hillthwaite House	Thornbarrow Road Windermere Cumbria LA23 2DF	http://www.hillthwaite.com/	Hillthwaite House Hotel	015394 43636	54.370463,-2.906793
Holbeck Ghyll	Holbeck Lane Windermere LA23 1LU	https://www.holbeckghyll.com/	Holbeck Ghyll	01539 432375	54.411700,-2.938165
Holker Hall & Gardens	Holker Estate Cark-in-Cartmel Grange-over-Sands Cumbria LA11 7PL	http://www.holker.co.uk/	Holker Hall & Gardens	01539 558378	54.188384,-2.983458
Howgills Bunk Barn	Castlehaw Farm Castlehaw Lane Sedbergh LA10 5BA	http://www.howgillsaccommodation.co.uk/	Howgills Bunk Barn	08008 321632	54.326436,-2.520452
Hundith Hill Hotel	Lorton Vale Cockermouth Cumbria CA13 9TH	http://hundith.com/	Hundith Hill Hotel	01900 822092	54.647332,-3.331816
Hunday Manor	Winscales Workington Cumbria CA14 4JF	http://www.hundaymanorhotel.co.uk/weddings	Hunday Manor Hotel	01900 61798	54.621711,-3.511465
Hause Hall Farm	The Hause Martindale Cumbria CA10 2NF	http://www.therowleyestates.com/halls/hause-hall/	The Rowley Estates	07968 258234	54.558773,-2.886333
Inn on the Lake	Ullswater Glenridding, CA11 0PE	http://www.lakedistricthotels.net/innonthelake/weddings.php	Inn on the Lake	0800 840 1245	54.5403,-2.948682
Irton Hall	Irton Eskdale Holmrook Cumbria CA19 1TA	http://www.irtonhall.co.uk/civil-weddings.php	Irton Hall	019467 26025	54.392849,-3.379544
Kendal Town Hall	Highgate Kendal Cumbria LA9 4DL	https://www.southlakeland.gov.uk/leisure-culture-and-events/venues-halls-and-hire/kendal-town-hall/kendal-town-hall-room-hire/	Kendal Town Hall	01539 733 333	54.327020,-2.746367
Kings Head	Thirlspot Thirlmere Near Keswick The Lake District Cumbria CA12 4TN	http://www.lakedistrictinns.co.uk/kings-head	King's Head	017687 72393	54.556607,-3.055404
Kirklinton Hall	Kirklinton Cumbria CA6 6BB	http://www.kirklintonhall.co.uk/weddings/	Kirklinton Hall	01228 231045	54.996523,-2.887471
Knipe Hall	Askham Penrith CA10 2PU	http://www.knipehall.co.uk/wedding/wedding-prices/	Knipe Hall	019317 15190	54.571505,-2.749916
Lakeside Hotel	Newby Bridge Ulverston LA12 8AT	https://www.lakesidehotel.co.uk/	The Lakeside Hotel	015395 30001	54.279131,-2.956851
Lancrigg	Easedale Grasmere Cumbria LA22 9QN	http://www.lancrigg.co.uk/	Lancrigg	015394 35317	54.467301,-3.034450
Langdale Chase	Windermere Lake District Cumbria LA23 1LW	http://www.langdalechase.co.uk/index.html	Langdale Chase	015394 32201	54.406838,-2.946250
Langdale Hotel	Great Langdale Ambleside LA22 9JD	http://www.langdale.co.uk/langdale-hotel.html	Langdale Hotel	015394 38014	54.436387,-3.040393
Langstrath Country Inn	Stonethwaite Borrowdale Valley Near Keswick CA12 5XG	http://thelangstrath.co.uk/	The Langstrath Country Inn	017687 77239	54.515539,-3.146691
Leathes Head Country House Hotel	Borrowdale Keswick CA12 5UY Cumbria	http://www.leatheshead.co.uk/hotel-rooms.html	The Leathes Head Country House Hotel	01768 777247	54.5511989,-3.1441039999999703
Leeming House Hotel	Watermillock Ullswater Nr. Penrith	http://www.macdonaldhotels.co.uk/our-hotels/macdonald-leeming-house/	Macdonald Leeming House	0344 879 9142	54.587727,-2.865607
Lindeth Howe Country House Hotel	Lindeth Drive Longtail Hill Bowness-on-Windermere LA23 3JF	https://www.lindeth-howe.co.uk/	Lindeth Howe Coutry House Hotel	015394 45759	54.349627,-2.923749
Lingholm Estate	Portinscale Keswick CA12 5TZ	http://thelingholmestate.co.uk/	The Lingholm Estate	017687 74238	54.589841,-3.155850
Linthwaite House	Crook Road Windermere Cumbria LA23 3JA	http://www.linthwaitehouse.com/	Linthwaite House	015394 88600	54.352677,-2.912648
Lodore Falls Hotel	Borrowdale Keswick CA12 5UX	https://www.lakedistricthotels.net/lodorefalls/weddings.php	Lodore Falls Hotel	0800 840 1246	54.559694,-3.139099
Longlands at Cartmel	Aynsome Road Grange-over-Sands The Lake District LA11 6HG	http://cartmel.com/	Longlands at Cartmel	015395 36475	54.2124988,-2.93710869
Low House	Armathwaite Carlisle Cumbria CA4 9ST	http://lowhouseevents.co.uk/contact-us/	Low House	016974 72009	54.823927,-2.763008
Low Wood Bay Resort & Spa	Windermere LA23 1LP	http://englishlakes.co.uk/low-wood-bay/#	Low Wood Resort & Spa	0333 2203 105	54.410249,-2.947916
Low Wood Hall Hotel	Nether Wasdale Cumbria CA20 1ET	http://www.lowwoodhall.co.uk/contact-us	Low Wood Hall	019467 26100	54.424565,-3.349535
Market Hall Wigton	Church Street Wigton CA7 9AA	http://www.themarkethall.org.uk/contact_us.html	The Market Hall	016973 44555	54.824482,-3.160178
Melmerby Hall	Melmerby Cumbria CA10 1HB	http://www.therowleyestates.com/	The Rowley Estates	01768 881333	54.729749,-2.604602
Merewood Country House Hotel & Restaurant	Windermere Cumbria LA23 1LH	https://www.lakedistrictcountryhotels.co.uk/merewood-hotel	Merewood Country House Hotel	015394 46484	54.403827,-2.938108
Miller Howe	Rayrigg Road Windermere The Lake District LA23 1EY	http://millerhowe.com/	Miller Howe Hotel &; Restaurant	015394 42536	54.381939,-2.918763
Miners Arms	Main Street Silecroft Cumbria LA18 5LP	http://minersarmssilecroft.com/	The Miners Arms	01229 772325	54.226462,-3.333369
Monk Coniston	Coniston LA21 8AQ	https://www.hfholidays.co.uk/country-houses/conistonwater/	Monk Coniston	0345 470 7558	54.375663,-3.053343
Moresby Hall	Moresby Whitehaven Cumbria CA28 6PJ	http://www.moresbyhall.co.uk/index.php	Moresby Hall	01946 696317	54.573622,-3.573145
Morland Hall	Morland Penrith Cumbria	http://morland-hall.co.uk/	Morland Hall	01931 714715	54.598774,-2.606668
Morton Manor	Morton Community Centre Wigton Road Carlisle CA2 6JP	http://www.mortoncommunitycentre.org.uk/	Morton Manor	01228 531105	54.885829,-2.963650
Muncaster Castle	Ravenglass Cumbria CA18 1RQ	http://www.muncaster.co.uk/	Muncaster Castle	01229 717614	54.354609,-3.380847
Nanny Brow	Clappersgate Ambleside Cumbria LA22 9NF	http://www.nannybrow.co.uk/	Nanny Brow	015394 33232	54.423171,-2.987362
